id;age;sex;ipd(mm);taL;taR;tv;correctionR;correctionL;timeCorrection(sec);date;expName;blocksRepN;trialsRepN;rectWidth;margin;length;height;lengthStim;heightStim;blackBG;resolution;oriL;oriR;heightDrawStimuli0;heightDrawStimuli1;blockN;blockNCon;blockSf;blockScreenDistL;blockScreenDistR;trialN;trialNBlock;trialAlpha;blockAlpha;startGetTIme;endGetTIme;startTS;endTS;responseCorrect;responseKey;blockEndTS;blockStartTS
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-19.0;11;0.0;0.0;11;0;10;50;25;0;0;30.0;30.0;163.445;168.195;1594369012.77;1594369017.5204;1;7;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-25;5.0;0.0;0.0;11;0;10;50;25;1;1;30.0;30.0;168.344;169.628;1594369017.6688;1594369018.9532;0;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;25.0;25;0.0;0.0;11;0;10;50;25;2;2;0.0;30.0;169.784;171.131;1594369019.1093;1594369020.4562;1;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;14;-16.0;0.0;0.0;11;0;10;50;25;3;3;30.0;30.0;171.284;172.56;1594369020.6092;1594369021.8842;0;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;25.0;-5;0.0;0.0;11;0;10;50;25;4;4;30.0;30.0;172.712;175.985;1594369022.0362;1594369025.3104;1;7;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;19;19.0;0.0;0.0;11;0;10;50;25;5;5;0.0;30.0;176.135;177.389;1594369025.4603;1594369026.7139;1;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-8.0;22;0.0;0.0;11;0;10;50;25;6;6;30.0;30.0;177.534;178.808;1594369026.8589;1594369028.1326;0;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;17;-13.0;0.0;0.0;11;0;10;50;25;7;7;30.0;30.0;178.961;179.907;1594369028.286;1594369029.2317;0;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-22.0;-22;0.0;0.0;11;0;10;50;25;8;8;0.0;30.0;180.055;181.019;1594369029.3797;1594369030.3437;1;5;0;1594369012.77
YL;24;m;66;-1;-1.25;;-2.25;-3.25;1;2020_Jul_10_1116;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-23;-23.0;0.0;0.0;11;0;10;50;25;9;9;0.0;30.0;181.176;183.038;1594369030.5006;1594369032.3629;1;5;0;1594369012.77
