id;age;sex;ipd(mm);taL;taR;tv;correctionR;correctionL;timeCorrection(sec);date;expName;blocksRepN;trialsRepN;rectWidth;margin;length;height;lengthStim;heightStim;blackBG;resolution;oriL;oriR;heightDrawStimuli0;heightDrawStimuli1;blockN;blockNCon;blockSf;blockScreenDistL;blockScreenDistR;trialN;trialNBlock;trialAlpha;blockAlpha;startGetTIme;endGetTIme;startTS;endTS;responseCorrect;responseKey;blockEndTS;blockStartTS
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;5.0;-10;0.0;0.0;2;0;4;50;50;0;0;15.0;15.0;410.969;446.571;1600877849.4566;1600877885.0595;0;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6.0;-6;0.0;0.0;2;0;4;50;50;1;1;0.0;15.0;446.743;452.46;1600877885.2311;1600877890.9482;1;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;10.0;10;0.0;0.0;2;0;4;50;50;2;2;0.0;15.0;452.613;463.727;1600877891.1011;1600877902.2145;1;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8;-7.0;0.0;0.0;2;0;4;50;50;3;3;15.0;15.0;463.873;477.018;1600877902.3604;1600877915.5065;0;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-8.0;-8;0.0;0.0;2;0;4;50;50;4;4;0.0;15.0;477.174;492.153;1600877915.6616;1600877930.6407;1;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;6.0;6;0.0;0.0;2;0;4;50;50;5;5;0.0;15.0;492.309;509.955;1600877930.7976;1600877948.443;1;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;10.0;10;0.0;0.0;2;0;4;50;50;6;6;0.0;15.0;510.111;519.587;1600877948.599;1600877958.0746;1;5;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;8;-7.0;0.0;0.0;2;0;4;50;50;7;7;15.0;15.0;519.74;522.642;1600877958.2285;1600877961.1292;1;7;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10.0;5;0.0;0.0;2;0;4;50;50;8;8;15.0;15.0;522.786;524.426;1600877961.2741;1600877962.9142;1;7;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-6.0;9;0.0;0.0;2;0;4;50;50;9;9;15.0;15.0;524.577;528.264;1600877963.0651;1600877966.7519;1;7;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-5.0;10;0.0;0.0;2;0;4;50;50;10;10;15.0;15.0;528.409;533.187;1600877966.8968;1600877971.6741;1;7;0;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10;-10.0;0.0;0.0;2;0;4;50;50;11;11;0.0;15.0;533.332;536.061;1600877971.82;1600877974.5482;1;5;1600877974.5482;1600877849.4566
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-25;-25.0;0.0;0.0;5;1;10;50;50;12;0;0.0;30.0;606.71;627.704;1600878045.1984;1600878066.1914;1;5;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;9.0;9;0.0;0.0;5;1;10;50;50;13;1;0.0;30.0;627.865;637.427;1600878066.3533;1600878075.9143;1;5;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;9;-21.0;0.0;0.0;5;1;10;50;50;14;2;30.0;30.0;637.579;643.646;1600878076.0673;1600878082.1338;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-13;17.0;0.0;0.0;5;1;10;50;50;15;3;30.0;30.0;643.814;645.478;1600878082.3018;1600878083.9658;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;16.0;16;0.0;0.0;5;1;10;50;50;16;4;0.0;30.0;645.636;651.087;1600878084.1239;1600878089.5753;1;5;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-10;-10.0;0.0;0.0;5;1;10;50;50;17;5;0.0;30.0;651.244;662.035;1600878089.7319;1600878100.5232;1;5;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;25.0;-5;0.0;0.0;5;1;10;50;50;18;6;30.0;30.0;662.185;663.722;1600878100.6721;1600878102.2098;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;23;-7.0;0.0;0.0;5;1;10;50;50;19;7;30.0;30.0;663.874;668.666;1600878102.3617;1600878107.1538;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-14;16.0;0.0;0.0;5;1;10;50;50;20;8;30.0;30.0;668.828;673.133;1600878107.3157;1600878111.6207;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-5.0;25;0.0;0.0;5;1;10;50;50;21;9;30.0;30.0;673.285;682.689;1600878111.7727;1600878121.1765;1;7;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;7.0;7;0.0;0.0;5;1;10;50;50;22;10;0.0;30.0;682.842;685.552;1600878121.3304;1600878124.0398;1;5;0;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-25;-25.0;0.0;0.0;5;1;10;50;50;23;11;0.0;30.0;685.711;715.04;1600878124.1987;1600878153.5272;0;7;1600878153.5272;1600878045.1984
JR;22;m;69;-0.5;0.25;;NA;NA;0;2020_Sep_23_1913;haploAD;1;6;0.1;1.2;1.5;1.5;4.0;4.0;1;1024_600;-15.0;-15;0.0;0.0;11;2;10;50;25;24;0;0.0;30.0;908.955;919.645;1600878347.4429;1600878358.1329;1;5;0;1600878347.4429
